ID,Nama,Umur,Gender,Nilai,Matkul,Tanggal,UTS,UAS
1,Budi,24,Laki-laki,85,Kimia,9/8/2023,90,80
2,Ani,21,Perempuan,77.5,Matematika,15/8/2023,75,80
3,Joko,20,Laki-laki,90,Biologi,15/8/2023,85,95
4,Siti,21,Perempuan,60,Matematika,9/8/2023,55,65
5,Agus,23,Laki-laki,77.5,Fisika,9/8/2023,80,75
6,Dewi,21,Perempuan,85,Biologi,9/8/2023,75,95
7,Eka,21,Perempuan,90,Matematika,15/8/2023,85,95
8,Adi,23,Laki-laki,67.5,Fisika,15/8/2023,70,65
9,Rina,22,Perempuan,75,Matematika,15/8/2023,80,70
10,Hadi,24,Laki-laki,82.5,Biologi,15/8/2023,85,80
11,Maya,23,Perempuan,83.5,Fisika,15/8/2023,79,88
12,Rudi,22,Laki-laki,90,Matematika,9/8/2023,95,85
13,Surya,22,Laki-laki,87.5,Kimia,9/8/2023,94,81
14,Wati,20,Perempuan,89.5,Biologi,9/8/2023,88,91
15,Ari,22,Laki-laki,86.5,Kimia,15/8/2023,88,85
16,Lia,23,Perempuan,79,Matematika,15/8/2023,74,84
17,Dian,22,Perempuan,76.5,Fisika,9/8/2023,76,77
18,Dodi,23,Laki-laki,77.5,Biologi,15/8/2023,85,70
19,Nina,24,Perempuan,86.5,Fisika,9/8/2023,93,80
20,Adit,21,Laki-laki,84,Kimia,9/8/2023,74,94
21,Tia,21,Perempuan,78,Matematika,9/8/2023,74,82
22,Andi,20,Laki-laki,87.5,Biologi,9/8/2023,81,94
23,Nia,21,Perempuan,80,Matematika,15/8/2023,89,71
24,Bayu,22,Laki-laki,91.5,Fisika,15/8/2023,90,93
25,Indah,21,Perempuan,92.5,Biologi,9/8/2023,93,92
26,Rama,21,Laki-laki,80,Kimia,9/8/2023,85,75
27,Nisa,21,Perempuan,83.5,Fisika,15/8/2023,76,91
28,Iwan,22,Laki-laki,78.5,Biologi,15/8/2023,83,74
29,Mega,23,Perempuan,86,Kimia,15/8/2023,85,87
30,Agung,20,Laki-laki,90,Matematika,9/8/2023,89,91
31,Ria,24,Perempuan,79.5,Fisika,9/8/2023,87,72
32,Dino,24,Laki-laki,85.5,Kimia,15/8/2023,92,79
33,Rini,21,Perempuan,74.5,Biologi,15/8/2023,73,76
34,Yoga,21,Laki-laki,85,Matematika,15/8/2023,95,75
35,Evi,23,Perempuan,91,Kimia,15/8/2023,93,89
36,Aji,24,Laki-laki,81.5,Fisika,9/8/2023,86,77
37,Lina,20,Perempuan,81.5,Biologi,9/8/2023,88,75
38,Dika,22,Laki-laki,78.5,Matematika,9/8/2023,80,77
39,Yuli,23,Perempuan,80,Kimia,15/8/2023,85,75
40,Bagus,22,Laki-laki,77.5,Fisika,15/8/2023,73,82
41,Tina,23,Perempuan,87,Biologi,9/8/2023,81,93
42,Farid,24,Laki-laki,80,Matematika,9/8/2023,81,79
43,Rika,21,Perempuan,84,Fisika,9/8/2023,82,86
44,Hafiz,22,Laki-laki,83,Kimia,9/8/2023,72,94
45,Yani,22,Perempuan,83,Biologi,9/8/2023,95,71
46,Fajar,20,Laki-laki,84,Matematika,15/8/2023,78,90
47,Ayu,24,Perempuan,88,Fisika,9/8/2023,84,92
48,Rian,23,Laki-laki,76,Biologi,15/8/2023,72,80
49,Tika,20,Perempuan,86,Kimia,15/8/2023,79,93
50,Fandi,23,Laki-laki,80.5,Matematika,15/8/2023,70,91
51,Siska,21,Perempuan,92,Kimia,9/8/2023,94,90
52,Rio,23,Laki-laki,78,Fisika,15/8/2023,82,74
53,Sinta,24,Perempuan,90.5,Biologi,9/8/2023,94,87
54,Arif,23,Laki-laki,88.5,Kimia,15/8/2023,83,94
55,Rara,22,Perempuan,89,Matematika,15/8/2023,94,84
56,Rian,22,Laki-laki,88.5,Fisika,9/8/2023,94,83
57,Tyas,20,Perempuan,91,Biologi,15/8/2023,87,95
58,Ryan,22,Laki-laki,83.5,Kimia,15/8/2023,87,80
59,Asih,23,Perempuan,76.5,Matematika,9/8/2023,73,80
60,Gito,24,Laki-laki,86,Fisika,15/8/2023,94,78
61,Ayi,20,Perempuan,73.5,Biologi,9/8/2023,74,73
62,Tino,24,Laki-laki,81,Kimia,9/8/2023,84,78
63,Nova,22,Perempuan,76.5,Matematika,15/8/2023,80,73
64,Reza,21,Laki-laki,80,Fisika,15/8/2023,83,77
65,Umi,22,Perempuan,80.5,Biologi,15/8/2023,73,88
66,Doni,24,Laki-laki,86.5,Kimia,15/8/2023,79,94
67,Lia,23,Perempuan,77.5,Matematika,9/8/2023,82,73
68,Dani,20,Laki-laki,90.5,Fisika,9/8/2023,87,94
69,Yani,24,Perempuan,85,Biologi,9/8/2023,84,86
70,Wira,21,Laki-laki,85.5,Kimia,15/8/2023,85,86
71,Yuli,21,Perempuan,75,Matematika,9/8/2023,71,79
72,Edo,23,Laki-laki,81.5,Fisika,9/8/2023,92,71
73,Tari,23,Perempuan,78,Kimia,15/8/2023,77,79
74,Andy,21,Laki-laki,76,Biologi,9/8/2023,82,70
75,Dita,24,Perempuan,86.5,Matematika,15/8/2023,90,83
76,Fahmi,21,Laki-laki,80,Fisika,9/8/2023,88,72
77,Erna,20,Perempuan,83,Kimia,15/8/2023,83,83
78,Dimas,21,Laki-laki,82,Biologi,9/8/2023,91,73
79,Eka,22,Perempuan,75,Matematika,15/8/2023,73,77
80,Ricky,22,Laki-laki,78.5,Fisika,15/8/2023,74,83
81,Merry,20,Perempuan,85.5,Kimia,15/8/2023,85,86
82,Rizal,20,Laki-laki,81,Biologi,9/8/2023,75,87
83,Tina,22,Perempuan,87,Matematika,9/8/2023,81,93
84,Billy,22,Laki-laki,81.5,Fisika,15/8/2023,91,72
85,Eva,24,Perempuan,81.5,Kimia,9/8/2023,91,72
86,Yudi,24,Laki-laki,84.5,Biologi,15/8/2023,88,81
87,Vera,20,Perempuan,85.5,Matematika,9/8/2023,83,88
88,Deka,22,Laki-laki,77.5,Fisika,15/8/2023,74,81
89,Dian,21,Perempuan,72,Kimia,9/8/2023,72,72
90,Roy,20,Laki-laki,81.5,Biologi,9/8/2023,72,91
91,Irma,20,Perempuan,84,Matematika,15/8/2023,83,85
92,Wahyu,24,Laki-laki,77.5,Fisika,9/8/2023,78,77
93,Sari,23,Perempuan,90,Kimia,9/8/2023,87,93
94,Riko,20,Laki-laki,84.5,Matematika,15/8/2023,84,85
95,Ela,20,Perempuan,87,Biologi,9/8/2023,80,94
96,Yanto,24,Laki-laki,81,Fisika,15/8/2023,76,86
97,Dina,22,Perempuan,82,Kimia,15/8/2023,92,72
98,Fery,22,Laki-laki,80.5,Matematika,15/8/2023,87,74
99,Febi,22,Perempuan,72,Biologi,15/8/2023,74,70
100,Rony,20,Laki-laki,94,Kimia,15/8/2023,94,94
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
